,CH1
Second,Volt
-5.40722e+00,2.18e+00, 
-5.39257e+00,2.18e+00, 
-5.37793e+00,2.18e+00, 
-5.36328e+00,2.18e+00, 
-5.34863e+00,2.20e+00, 
-5.33398e+00,2.18e+00, 
-5.31933e+00,2.18e+00, 
-5.30468e+00,2.18e+00, 
-5.29004e+00,2.18e+00, 
-5.27539e+00,2.20e+00, 
-5.26074e+00,2.18e+00, 
-5.24609e+00,2.20e+00, 
-5.23144e+00,2.18e+00, 
-5.21679e+00,2.18e+00, 
-5.20214e+00,2.18e+00, 
-5.18750e+00,2.18e+00, 
-5.17285e+00,2.18e+00, 
-5.15820e+00,2.20e+00, 
-5.14355e+00,2.18e+00, 
-5.12890e+00,2.20e+00, 
-5.11425e+00,2.18e+00, 
-5.09961e+00,2.20e+00, 
-5.08496e+00,2.20e+00, 
-5.07031e+00,2.18e+00, 
-5.05566e+00,2.18e+00, 
-5.04101e+00,2.20e+00, 
-5.02636e+00,2.18e+00, 
-5.01171e+00,2.20e+00, 
-4.99707e+00,2.18e+00, 
-4.98242e+00,2.18e+00, 
-4.96777e+00,2.18e+00, 
-4.95312e+00,2.18e+00, 
-4.93847e+00,2.18e+00, 
-4.92382e+00,2.18e+00, 
-4.90918e+00,2.20e+00, 
-4.89453e+00,2.18e+00, 
-4.87988e+00,2.18e+00, 
-4.86523e+00,2.18e+00, 
-4.85058e+00,2.18e+00, 
-4.83593e+00,2.20e+00, 
-4.82129e+00,2.20e+00, 
-4.80664e+00,2.20e+00, 
-4.79199e+00,2.18e+00, 
-4.77734e+00,2.18e+00, 
-4.76269e+00,2.20e+00, 
-4.74804e+00,2.18e+00, 
-4.73339e+00,2.18e+00, 
-4.71875e+00,2.18e+00, 
-4.70410e+00,2.18e+00, 
-4.68945e+00,2.20e+00, 
-4.67480e+00,2.20e+00, 
-4.66015e+00,2.20e+00, 
-4.64550e+00,2.20e+00, 
-4.63086e+00,2.18e+00, 
-4.61621e+00,2.18e+00, 
-4.60156e+00,2.18e+00, 
-4.58691e+00,2.20e+00, 
-4.57226e+00,2.20e+00, 
-4.55761e+00,2.18e+00, 
-4.54296e+00,2.20e+00, 
-4.52832e+00,2.18e+00, 
-4.51367e+00,2.18e+00, 
-4.49902e+00,2.20e+00, 
-4.48437e+00,2.18e+00, 
-4.46972e+00,2.18e+00, 
-4.45507e+00,2.20e+00, 
-4.44043e+00,2.20e+00, 
-4.42578e+00,2.18e+00, 
-4.41113e+00,2.20e+00, 
-4.39648e+00,2.20e+00, 
-4.38183e+00,2.18e+00, 
-4.36718e+00,2.18e+00, 
-4.35254e+00,2.20e+00, 
-4.33789e+00,2.20e+00, 
-4.32324e+00,2.20e+00, 
-4.30859e+00,2.18e+00, 
-4.29394e+00,2.18e+00, 
-4.27929e+00,2.18e+00, 
-4.26464e+00,2.18e+00, 
-4.25000e+00,2.18e+00, 
-4.23535e+00,2.18e+00, 
-4.22070e+00,2.20e+00, 
-4.20605e+00,2.18e+00, 
-4.19140e+00,2.18e+00, 
-4.17675e+00,2.18e+00, 
-4.16211e+00,2.18e+00, 
-4.14746e+00,2.20e+00, 
-4.13281e+00,2.18e+00, 
-4.11816e+00,2.18e+00, 
-4.10351e+00,2.20e+00, 
-4.08886e+00,2.18e+00, 
-4.07421e+00,2.20e+00, 
-4.05957e+00,2.18e+00, 
-4.04492e+00,2.18e+00, 
-4.03027e+00,2.18e+00, 
-4.01562e+00,2.18e+00, 
-4.00097e+00,2.20e+00, 
-3.98632e+00,2.18e+00, 
-3.97168e+00,2.18e+00, 
-3.95703e+00,2.18e+00, 
-3.94238e+00,2.18e+00, 
-3.92773e+00,2.20e+00, 
-3.91308e+00,2.20e+00, 
-3.89843e+00,2.18e+00, 
-3.88379e+00,2.20e+00, 
-3.86914e+00,2.18e+00, 
-3.85449e+00,2.18e+00, 
-3.83984e+00,2.20e+00, 
-3.82519e+00,2.18e+00, 
-3.81054e+00,2.18e+00, 
-3.79589e+00,2.18e+00, 
-3.78125e+00,2.20e+00, 
-3.76660e+00,2.20e+00, 
-3.75195e+00,2.18e+00, 
-3.73730e+00,2.18e+00, 
-3.72265e+00,2.18e+00, 
-3.70800e+00,2.18e+00, 
-3.69336e+00,2.18e+00, 
